# V_in, V_out
1.209999999999999964e+01,-5.400000000000000355e+00
1.459999999999999964e+01,-7.799999999999999822e+00
1.700000000000000000e+01,-1.059999999999999964e+01
2.019999999999999929e+01,-1.409999999999999964e+01
2.289999999999999858e+01,-1.839999999999999858e+01
2.539999999999999858e+01,-2.230000000000000071e+01
2.789999999999999858e+01,-2.689999999999999858e+01
3.060000000000000142e+01,-3.150000000000000000e+01
3.300000000000000000e+01,-3.700000000000000000e+01
3.550000000000000000e+01,-4.329999999999999716e+01
3.810000000000000142e+01,-4.929999999999999716e+01
4.270000000000000284e+01,-6.189999999999999858e+01
4.510000000000000142e+01,-6.970000000000000284e+01
4.770000000000000284e+01,-7.940000000000000568e+01
5.000000000000000000e+01,-8.820000000000000284e+01
